Id,ClusterId,Description,Type,Language,LastUpdated,PublicationDate,CreatedDate,FirstReported,Publisher,NoDocuments,SourceUrl,SilobreakerUrl
5_2275832278493954157,16_2275832278493954102,"COVID-19: Taylor County adds no new cases Sunday, five recoveries",News,en,2021-05-16T22:25:00Z,2021-05-16T22:25:00Z,2021-05-16T22:26:17Z,2021-05-16T22:25:00Z,Abilene Reporter-News,1,https://www.reporternews.com/story/news/2021/05/16/covid-19-coronavirus-taylor-county-adds-no-new-cases-sunday-five-recoveries/5122360001/,https://my.silobreaker.com/5_2275832278493954157
5_2275873644397723801,16_2275873644397723721,"Thursday's COVID-19 update: 41 new cases and 1 new death documented in Guilford County, according to state data",News,en,2021-06-03T16:22:00Z,2021-06-03T16:22:00Z,2021-06-03T17:00:03Z,2021-06-03T16:22:00Z,Greensboro.com,1,https://greensboro.com/news/local/thursdays-covid-19-update-41-new-cases-and-1-new-death-documented-in-guilford-county/article_206b45e4-c484-11eb-92f9-ab52c563833c.html,https://my.silobreaker.com/5_2275873644397723801
5_2275754562151251969,16_2275752375996121157,"Florida Reports Fewer Coronavirus Cases Per Capita Than NY, PA, MI",Blog,en,2021-04-13T11:30:01Z,2021-04-13T11:30:01Z,2021-04-13T11:53:26Z,2021-04-13T11:30:01Z,MuskegonPundit,1,https://muskegonpundit.blogspot.com/2021/04/florida-reports-fewer-coronavirus-cases.html,https://my.silobreaker.com/5_2275754562151251969
5_2275647383205314562,16_2275645198308474902,"U.S. approves third COVID-19 vaccine as Florida reports 5,000 new cases",News,en,2021-02-28T19:51:54Z,2021-02-28T19:51:54Z,2021-02-28T20:18:33Z,2021-02-28T19:51:54Z,Click Orlando - News Headlines - RSS,1,https://www.clickorlando.com/news/local/2021/02/28/us-approves-third-covid-19-vaccine-as-florida-reports-5000-new-cases/,https://my.silobreaker.com/5_2275647383205314562
5_2275849781559427263,16_2275849781559427139,COVID-19: Taylor County reports no new cases Monday,News,en,2021-05-24T21:06:00Z,2021-05-24T21:06:00Z,2021-05-24T21:07:30Z,2021-05-24T21:06:00Z,Abilene Reporter-News,1,https://www.reporternews.com/story/news/2021/05/24/covid-19-taylor-county-reports-no-new-cases-monday/7420294002/,https://my.silobreaker.com/5_2275849781559427263
5_2275854167794778270,16_2275854167794778172,COVID-19: Taylor County adds 1 new case Wednesday,News,en,2021-05-26T20:59:00Z,2021-05-26T20:59:00Z,2021-05-26T21:22:20Z,2021-05-26T20:59:00Z,Abilene Reporter-News,1,https://www.reporternews.com/story/news/2021/05/26/covid-19-taylor-county-adds-1-new-case-wednesday/7454971002/,https://my.silobreaker.com/5_2275854167794778270
5_2275577064591458306,16_2275577072610967594,"Tampa looks to curb COVID-19 spread at Super Bowl as Florida reports 11,326 new cases",News,en,2021-01-28T20:34:34Z,2021-01-28T20:34:34Z,2021-01-28T20:47:23Z,2021-01-28T20:34:34Z,Click Orlando - News Headlines - RSS,1,https://www.clickorlando.com/news/local/2021/01/28/tampa-looks-to-curb-covid-19-spread-at-super-bowl-as-florida-reports-11326-new-cases/,https://my.silobreaker.com/5_2275577064591458306
5_2275869486869381384,16_2275868872689057833,"Coronavirus Update: Florida reports over 5,500 new cases overnight; 97 new deaths",News,en,2021-06-01T19:54:00Z,2021-06-01T19:54:00Z,2021-06-01T20:23:18Z,2021-06-01T19:54:00Z,WPBF,1,http://www.wpbf.com/article/coronavirus-south-florida-palm-beach-covid-19-december/34947375,https://my.silobreaker.com/5_2275869486869381384
5_2275847471940763657,16_2275847471940763653,"Coronavirus Update: Florida reports over 2,000 new cases overnight; 13 new deaths",News,en,2021-05-23T19:31:00Z,2021-05-23T19:31:00Z,2021-05-23T19:31:48Z,2021-05-23T19:31:00Z,WPBF,1,http://www.wpbf.com/article/coronavirus-south-florida-palm-beach-covid-19-december/34947375,https://my.silobreaker.com/5_2275847471940763657
5_2275821188888395913,16_2275819058584617001,"Florida Reports Another 3,263 New Coronavirus Cases",News,en,2021-05-11T21:01:00Z,2021-05-11T21:01:00Z,2021-05-11T21:20:55Z,2021-05-11T21:01:00Z,WUSF Public Media,1,https://wusfnews.wusf.usf.edu/health-news-florida/2021-05-11/florida-reports-another-3-263-new-coronavirus-cases,https://my.silobreaker.com/5_2275821188888395913
